bigg_id,reaction_name,,subsytem
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),,Tyrosine metabolism
3SALAOX,Cysteinesulfinic acid oxidase,,Taurine and hypotaurine metabolism
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",,Tyrosine metabolism
4HBZCOAFm,4 hydroxybenzoyl CoA formation,,Ubiquinone synthesis
4HBZFm,4 hydroxybenzoate formation,,Ubiquinone synthesis
4HDEBRISOQUINEte,Xenobiotic transport,,"Transport, extracellular"
4HOXPACDOX_NADP,4HOXPACDOX LPAREN NADP RPAREN ,,Tyrosine metabolism
4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,,"Transport, mitochondrial"
4MPTNLte,4-methylpentanal transport,,"Transport, extracellular"
4NPHSULT,4-Nitrophenol Sulfotransferase,,Cytochrome metabolism
4PYRDX,4-Pyridoxal secretion,,"Transport, extracellular"
5ADTSTSTERONEGLCtr,Glucuronidated compound transport,,"Transport, endoplasmic reticular"
5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,,Steroid metabolism
5ADTSTSTERONEte,5 alpha dihydrotesterone transport,,"Transport, extracellular"
5FTHFt2_1,5-Formyltetrahydrofolate Transport via Anion Exchange,,"Transport, extracellular"
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),,Tryptophan metabolism
5THFtl,"5-glutamyl-THF transport, lysosomal",,"Transport, lysosomal"
5THFtm,"5-glutamyl-THF transport,m mitochondrial",,"Transport, mitochondrial"
7DHCHSTEROLtr,Cholesterol precursor intracellular transport,,"Transport, endoplasmic reticular"
7DHFtm,"7-glutamyl-DHF transport,m mitochondrial",,"Transport, mitochondrial"
A4GALTc,Lactosylceramide 4-alpha-galactosyltransferase,,Sphingolipid metabolism
A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,,Sphingolipid metabolism
A4GNT2g,"Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",,O-glycan metabolism
AACTtm,Aminoacetone transport (mitochondrial),,"Transport, mitochondrial"
ABO1g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABO4g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABO5g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABO6g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABO7g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABO9g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",,Blood group synthesis
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",,Glutamate metabolism
ABTt,L arabinitol transport via passive diffusion,,"Transport, extracellular"
ABUTt2rL,4-aminobutyrate reversible transport in via proton symport (lysosome),,"Transport, lysosomal"
ACACT10m,Acetyl-CoA C-acyltransferase,,"Valine, leucine, and isoleucine metabolism"
ACACT5p,Acetyl CoA C acyltransferase  decanoyl CoA   peroxisomal,,Fatty acid oxidation
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,,Fatty acid oxidation
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,,Fatty acid oxidation
ACALDtr,Acetaldehyde reversible transport (ER),,"Transport, endoplasmic reticular"
ACALDtx,"Acetaldehyde transport via diffusion, glyoxysome",,"Transport, peroxisomal"
ACCOALm,Acetate-CoA ligase (AMP-forming),,Propanoate metabolism
ACCOAtr,Acetyl-coa transport,,"Transport, endoplasmic reticular"
ACETONEt2,Acetone transport via proton symport,,"Transport, extracellular"
ACGAGBSIDEtl,Acgagbside hs intracellular transport,,"Transport, lysosomal"
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,,"Transport, extracellular"
ACGALtlg,N-acetyl-galactosamine intracellular transport,,"Transport, golgi apparatus"
ACGAMK,N-acetylglucosamine kinase,,Aminosugar metabolism
ACGAMPM,Phosphoacetylglucosamine mutase,,Aminosugar metabolism
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,,"Transport, lysosomal"
ACGBGBSIDEtl,Acgbgbside hs intracellular transport,,"Transport, lysosomal"
ACHtn,"Acetylcholin transport, nuclear trhough pores",,"Transport, nuclear"
ACHVESSEC_1,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),,"Transport, extracellular"
ACN13ACNGALGBSIDEtg,Acn13acngalgbside hs intracellular transport,,"Transport, golgi apparatus"
ACNACNGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,,"Transport, golgi apparatus"
ACNACNGALGBSIDEtg,Acnacngalgbside hs intracellular transport,,"Transport, golgi apparatus"
ACNAMlt,N-acetylneuraminate transport into lysososme,,"Transport, lysosomal"
ACNAMtn,N-acetylneuraminate nuclear import,,"Transport, nuclear"
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,,"Transport, extracellular"
ACNML,N-Acetylneuraminate lyase,,Aminosugar metabolism
ACOAD10m,"2-methylacyl-coa dehydrogenase, trans-2-Methylbut-2-enoyl-CoA forming",,"Valine, leucine, and isoleucine metabolism"
ACOAD8m,Isovaleryl-coa dehydrogenase,,"Valine, leucine, and isoleucine metabolism"
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming",,"Valine, leucine, and isoleucine metabolism"
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,,Fatty acid oxidation
ACODA,Acetylornithine deacetylase,,Urea cycle
ACONTm,Aconitate hydratase,,Citric acid cycle
ACP1_FMN,Acid phosphatase (FMN),,Vitamin B2 metabolism
ACS2,Acetyl-CoA synthase (propionate),,Propanoate metabolism
ACSRTNMT,S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase,,Tryptophan metabolism
ACt2r,Acetate reversible transport via proton symport,,"Transport, extracellular"
ADEt,Adenine transport via diffusion,,"Transport, extracellular"
ADK3,Adentylate kinase (GTP),,Nucleotide interconversion
ADK3m,Adentylate kinase  GTP ,,Nucleotide interconversion
ADKd,Adenylate kinase (d form),,Nucleotide interconversion
ADMDC,Adenosylmethionine decarboxylase,,Arginine and proline metabolism
ADNt4,Adenosine transport (Na/Adn cotransport),,"Transport, extracellular"
ADNtl,Adenosine facilated transport from lysosome,,"Transport, lysosomal"
ADNtm,"Equilibrative nucleoside transporter, mitochondrial",,"Transport, mitochondrial"
ADPMAN,ADPmannose diphosphatase,,Nucleotide interconversion
ADPRIBt,ADPribose transport,,"Transport, extracellular"
ADRNCOAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
ADRNCRNt,Transport into the mitochondria (carnitine),,Fatty acid oxidation
ADSL2r,Adenylosuccinate lyase,,Purine synthesis
AG13T16g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",,Keratan sulfate synthesis
AG13T18g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",,Keratan sulfate synthesis
AG13T2g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",,Keratan sulfate synthesis
AGMTm,Agmatinase (m),,Arginine and proline metabolism
AGTim,Alanine---glyoxylate aminotransferase,,Alanine and aspartate metabolism
AHANDROSTANGLCte,Glucuronidated compound transport,,"Transport, extracellular"
AHEXASE2ly,"Beta-N-acetylhexosaminidase, lysosomal",,N-glycan degradation
AIRCr,Phosphoribosylaminoimidazole carboxylase,,Purine synthesis
AKGMALtm,"Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial",,"Transport, mitochondrial"
AKGt4_3,AKG transport via sodium symport,,"Transport, extracellular"
AKR1C41,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",,Bile acid synthesis
AKR1D,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",,Bile acid synthesis
ALAGLYexR,L-alanine/glycine reversible exchange,,"Transport, extracellular"
ALASERNaEx,L-alanine/L-serine Na-dependent exchange (Ala-L in),,"Transport, extracellular"
ALASm,5 aminolevulinate synthase,,"Glycine, serine, alanine, and threonine metabolism"
ALATHRNaEx,L-alanine/L-threonine Na-dependent exchange (Ala-L in),,"Transport, extracellular"
ALCD21_D,"Alcohol dehydrogenase (D-1,2-propanediol)",,Pyruvate metabolism
ALCD22_D,Alcohol dehydrogenase (D-lactaldehyde),,Pyruvate metabolism
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",,Glycolysis/gluconeogenesis
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,,Tryptophan metabolism
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,,Glycolysis/gluconeogenesis
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",,Glycolysis/gluconeogenesis
ALDSTRNte,Aldosterone transport,,"Transport, extracellular"
ALDSTRNtm,Aldosterone intracellular transport,,"Transport, mitochondrial"
ALOX15,Arachidonate 15-lipoxygenase,,Eicosanoid metabolism
ALR2,Aldose reductase (methylglyoxal),,Pyruvate metabolism
ALR3,Aldose reductase (acetol),,Pyruvate metabolism
AMACR2p,Alpha-methylacyl-CoA racemase (reductase),,Bile acid synthesis
AMACRp,Alpha-methylacyl-CoA racemase,,Bile acid synthesis
AMETr,S-Adenosyl-L-methionine intracellular diffusion,,"Transport, endoplasmic reticular"
AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial",,"Transport, mitochondrial"
AMPDA,Adenosine monophosphate deaminase,,Nucleotide interconversion
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",,Starch and sucrose metabolism
ANDRSTRNGLCte,Glucuronidated compound transport,,"Transport, extracellular"
ANDRSTRNGLCtr,Glucuronidated compound transport (ER),,"Transport, endoplasmic reticular"
ANDRSTRNtr,Androsterone intracellular transport,,"Transport, endoplasmic reticular"
ANTIPYRENEte,Xenobiotic transport,,"Transport, extracellular"
APOCFm,"Apocarboxylase formation, mitochondrial",,Biotin metabolism
APOC_LYS_BTNP,Proteolysis of apoC-Lys-btn,,Biotin metabolism
APRTO2,N acetylputrescine oxygen oxireductase  deaminating ,,Arginine and proline metabolism
ARAB_Lt,L arabinoase extracellular transport,,"Transport, extracellular"
ARABR,Arabinose reductase,,Pentose phosphate pathway
ARACHDCOAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
ARACHDt2,Fatty acid transport via diffusion,,"Transport, extracellular"
ARACHt,Fatty acid transport via diffusion,,"Transport, extracellular"
ARGDCm,"Arginine decarboxylase, mitochondrial",,Arginine and proline metabolism
ARGLYSex,Arginine/Lysine exchanger (Arg in),,"Transport, extracellular"
ARGSS,Argininosuccinate synthase,,Alanine and aspartate metabolism
ARGt4,L-arginine transport in via sodium symport,,"Transport, extracellular"
ARTCOAL3_cho,R group coenzyme a ligase,,R group synthesis
R_group_phosphotase_2,R group phosphotase 2,,Miscellaneous
R_group_phosphotase_3,R group phosphotase 3,,Miscellaneous
ASCBOX_1,Ascorbic Acid Oxidase,,Vitamin C metabolism
ASCBt,L-ascorbate transport via facilitated diffusion,,"Transport, extracellular"
ASNCYSNaEx,L-cysteine/L-asparagine Na-dependent exchange (Asn-L in),,"Transport, extracellular"
ASNGLNNaEx,L-glutamine/L-asparagine Na-dependent exchange (Asn-L in),,"Transport, extracellular"
ASNNm,L-asparaginase (mitochondrial),,Alanine and aspartate metabolism
ASNS1,Asparagine synthase (glutamine-hydrolysing),,Alanine and aspartate metabolism
ASNt4,L-asparagine transport in via sodium symport,,"Transport, extracellular"
ASPDxt,"D-aspartate transport, peroxisomal",,"Transport, peroxisomal"
ASPGLUm,Aspartate-glutamate mitochondrial shuttle,,"Transport, mitochondrial"
ASPNATm,"Aspartate N-acetyltransferase, mitochondrial",,Alanine and aspartate metabolism
ASPt6,"L-aspartate transport via Na, H symport and K antiport",,"Transport, extracellular"
ASPTAm,Aspartate transaminase,,Alanine and aspartate metabolism
ATP1ter,"ADP/ATP transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
BILGLCURte,Bilirubin monoglucuronide transport MDR,,"Transport, extracellular"
BILIRED,Nad(p)h biliverdin reductase,,Heme degradation
EX_6htststerone_e,6 beta hydroxy testosterone exchange,,Extracellular exchange
ATPasel_1,"V-Type ATPase, H+ Transporting, Lysosomal",,"Transport, lysosomal"
ATPtn,ATP diffusion in nucleus,,"Transport, nuclear"
ATPtx,"ATP transporter, peroxisomal",,"Transport, peroxisomal"
AVITE2t,Alpha-tocotrienol (Vit. E) transport,,"Transport, extracellular"
B3GALT3g,"Beta-1,3-galactosyltransferase 3",,Sphingolipid metabolism
B3GALT42g,"Beta-1,3-galactosyltransferase 4",,Sphingolipid metabolism
B3GALTg,Beta galactosyltransferase,,Blood group synthesis
B3GNT11g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1",,Blood group synthesis
B3GNT310g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Blood group synthesis
B3GNT315g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Blood group synthesis
B3GNT31g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Sphingolipid metabolism
B3GNT34g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Sphingolipid metabolism
B3GNT37g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Sphingolipid metabolism
B3GNT39g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, Golgi apparatus",,Sphingolipid metabolism
B3GNT51g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",,Blood group synthesis
BAAT1x,Bile acid Coenzyme A: amino acid N-acyltransferase,,Bile acid synthesis
BAAT3x,Bile acid Coenzyme A: amino acid N-acyltransferase,,Bile acid synthesis
BACCL,Biotin acetyl CoA carboxylase ligase,,Biotin metabolism
BALAVECSEC_1,B-Alanine Secretion via Secretory Vesicle (ATP Driven),,"Transport, extracellular"
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",,Butanoate metabolism
BETALDHxm,"Betaine-aldehyde dehydrogenase, mitochondrial",,"Glycine, serine, alanine, and threonine metabolism"
BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport,,"Transport, mitochondrial"
BHMT,Betaine-homocysteine S-methyltransferase,,"Glycine, serine, alanine, and threonine metabolism"
BILDGLCURt,Bilirubin beta-diglucuronide transport via bicarbonate countertransport,,"Transport, extracellular"
BTNDm,"Biotinidase (biotin), mitochondrial",,Biotin metabolism
BTNPL,Holocarboxylase synthestase (biotin protein ligase),,Biotin metabolism
BTNt2m,"Biotin reversible transport via proton symport, mitochondria",,"Transport, mitochondrial"
BTNt3i_1,Biotin Transport via Sodium Symport,,"Transport, extracellular"
BVITEt,Beta-Tocopherol (Vit. E) transport,,"Transport, extracellular"
BZtr,"Benzene transporter, endoplasmic reticulum",,"Transport, endoplasmic reticular"
C160CPT1,Carnitine O-palmitoyltransferase,,Fatty acid oxidation
C160CPT2,C160 transport into the mitochondria,,Fatty acid oxidation
C160CRNt,C160 transport into the mitochondria,,Fatty acid oxidation
C161CPT1,Carnitine O-palmitoyltransferase,,Fatty acid oxidation
C161CPT12,Carnitine O-palmitoyltransferase,,Fatty acid oxidation
C161CPT2,C161 transport into the mitochondria,,Fatty acid oxidation
C161CRN2t,C161 transport into the mitochondria,,Fatty acid oxidation
C161CRNt,C161 transport into the mitochondria,,Fatty acid oxidation
C180CPT1,Carnitine O-stearoyl transferase,,Fatty acid oxidation
C181CPT1,Carnitine octadecenoyl transferase,,Fatty acid oxidation
C181CRNt,C181 transport into the mitochondria,,Fatty acid oxidation
C204CPT1,Carnitine C20:4 transferase,,Fatty acid oxidation
C204CPT2,Arachidonic acid transport into the mitochondria,,Fatty acid oxidation
C226COAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
C226CPT1,Carnitine C22:6 transferase,,Fatty acid oxidation
C226CPT2,C226 transport into the mitochondria,,Fatty acid oxidation
C226CRNt,C226 transport into the mitochondria,,Fatty acid oxidation
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),,Cholesterol metabolism
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",,Cholesterol metabolism
C4STMO2Pr,C-4 methyl sterol oxidase,,Cholesterol metabolism
CAATPS_1,Ca ATPase,,"Transport, extracellular"
CAROtr,Beta-carotene transport via diffusion,,"Transport, extracellular"
CAt7r,"Calcium / sodium antiporter (1:3), reversible",,"Transport, extracellular"
CATm,Catalase,,ROS detoxification
CATp,Catalase A  peroxisomal,,Miscellaneous
CBL2tm,"Cob(II)alamine transport, mitochondrial",,"Transport, mitochondrial"
CBPPer,"Carbamoyl phosphate phosphotransferase, endoplasmic reticulum",,Glycolysis/gluconeogenesis
CBR2,Carbonyl reductase [NADPH] 1,,Eicosanoid metabolism
CDIPTr,Phosphatidylinositol synthase (Homo sapiens),,Glycerophospholipid metabolism
CDPDAGtm,Intracellular transport,,"Transport, mitochondrial"
CDS,Phosphatidate cytidylyltransferase,,Glycerophospholipid metabolism
CERT1gt,Ceramide transport protein,,"Transport, golgi apparatus"
CERT1rt,Ceramide transport protein,,"Transport, endoplasmic reticular"
CERT2rt,Ceramide transport protein,,"Transport, endoplasmic reticular"
CH25H,Cholesterol 25-hydroxylase,,Bile acid synthesis
CHATn,Choline O-acetyltransferase,,Glycerophospholipid metabolism
CHLP,Choline phosphate phosphatase,,Glycerophospholipid metabolism
CHOLD2m,"Choline dehydrogenase (FAD acceptor), mitochondrial",,"Glycine, serine, alanine, and threonine metabolism"
CHOLK,Choline kinase,,Glycerophospholipid metabolism
CHOLPtl,Choline phosphate intracellular transport,,"Transport, lysosomal"
CHOLtn,"Choline transport, nuclear through pores",,"Transport, nuclear"
CHOLtr,Choline intracellular transport,,"Transport, endoplasmic reticular"
CHSTEROLt3,Cholesterol intracellular transport,,"Transport, mitochondrial"
CITRtm,"Citrulline transport via diffusion, mitochondria",,"Transport, mitochondrial"
CITtam,Citrate transport  mitochondrial,,"Transport, mitochondrial"
CK_cho,ATP Creatine kinase,,Urea cycle
CLHCO3tex2,Chloride transport via bicarbonate countertransport (2:1),,"Transport, extracellular"
CLOXAtex2,Chloride transport via oxalate countertransport (2:1),,"Transport, extracellular"
CLPNDCOAtx,Fatty acid intracellular transport,,"Transport, peroxisomal"
CLPNDCPT1,Carnitine O-palmitoyltransferase,,Fatty acid oxidation
CLPNDt,Fatty acid transport via diffusion,,"Transport, extracellular"
CMPACNAtn,CMP-Sia nuclear export,,"Transport, nuclear"
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,,Aminosugar metabolism
CO2tg,CO2 Golgi transport,,"Transport, golgi apparatus"
CO2tm,CO2 transport  diffusion   mitochondrial,,"Transport, mitochondrial"
COAtim,CoA transporter  mitochondrial   irreversible,,"Transport, mitochondrial"
COKECBESr,Carboxylesterase (cocaine) (er),,Alkaloid synthesis
COQ3m,Methyltransferase COQ3,,Ubiquinone synthesis
COQ6m,Ubiquinone biosynthesis monooxgenase COQ6,,Ubiquinone synthesis
COQ7m,Ubiquinone biosynthesis COQ7,,Ubiquinone synthesis
CORE3GTg,"Core 3 beta-GlcNAc-transferase, Golgi apparatus",,O-glycan metabolism
CORE6GTg,"Core 6 beta-GlcNAc-transferase A, Golgi apparatus",,O-glycan metabolism
CORE7GTg,"Core 7 alpha-GalNAc-transferase, Golgi apparatus",,O-glycan metabolism
CREATt4_2_r,CREATt4 LPAREN 2 RPAREN r,,"Transport, extracellular"
CREATtmdiffir,Creatine transport to/from mitochondria via diffusion,,Urea cycle
CRMPte,Crmp hs transport,,"Transport, extracellular"
CRNCAR3tp,"Carnitine-propcarnitine carrier, peroxisomal",,"Transport, peroxisomal"
CRNCARtp,Carnitine acetylcarnitine carrier  peroxisomal,,"Transport, peroxisomal"
CRNt,L carnitine reversible transport,,"Transport, extracellular"
CRNtHa,L-carnitine outward transport (H+ antiport),,"Transport, extracellular"
CRNtuNa,L-carnitine inward transport by Na+ symport,,"Transport, extracellular"
CRTNsyn_cho,Creatinine synthase,,Urea cycle
CRTSLt,Cortisol transport,,"Transport, extracellular"
CRTSLtm,Cortisol intracellular transport,,"Transport, mitochondrial"
CRTSLtr,Cortisol intracellular transport,,"Transport, endoplasmic reticular"
CRVNCtr,Fatty acid transport via diffusion,,"Transport, extracellular"
CSAPASEly,"Chondroitin sulfate A proteoglycan protease, lysosome (endosome)",,Chondroitin sulfate degradation
CSCPASEly,"Chondroitin sulfate C proteoglycan protease, lysosome (endosome)",,Chondroitin sulfate degradation
CSEPASEly,"Chondroitin sulfate E proteoglycan protease, lysosome (endosome)",,Chondroitin sulfate degradation
CSNAT2m,"Carnitine O-aceyltransferase, mitochondrial",,Fatty acid oxidation
CSNAT2x,"Carnitine dimethyl nonanoyl transferase, revsible, peroxisomal",,Fatty acid oxidation
CSNAT3x,"Carnitine O-aceyltransferase, peroxisomal",,Fatty acid oxidation
CSNATm,Carnitine O aceyltransferase  mitochondrial,,Fatty acid oxidation
CSNATp,Carnitine O acetyltransferase  reverse direction  peroxisomal,,Fatty acid oxidation
CSNATr,Carnitine O acetyltransferase,,Fatty acid oxidation
CSPG_Atly,"Chondroitin sulfate A transport, extracellular to lysosome",,"Transport, lysosomal"
CSPG_Ct,"Chondroitin sulfate C transport, golgi to extracellular",,"Transport, extracellular"
CSPG_Ctly,"Chondroitin sulfate C transport, extracellular to lysosome",,"Transport, lysosomal"
CSPG_Dt,"Chondroitin sulfate D transport, golgi to extracellular",,"Transport, extracellular"
CSPG_Dtly,"Chondroitin sulfate D transport, extracellular to lysosome",,"Transport, lysosomal"
CTPtn,CTP diffusion in nucleus,,"Transport, nuclear"
CYANt,Cyanide transport via diffusion (extracellular to cytosol),,"Transport, extracellular"
CYANtm,Cyanide transport via diffusion (mitochondrial),,"Transport, mitochondrial"
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),,"Transport, extracellular"
CYSASNNaEx,L-cysteine/L-asparagine Na-dependent exchange (Cys-L in),,"Transport, extracellular"
CYSGLYex,L-cysteine/glycine exchanger,,"Transport, extracellular"
CYSO,Cysteine oxidase,,Taurine and hypotaurine metabolism
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),,"Transport, extracellular"
CYStec,L-cysteine transport via diffusion (extracellular to cytosol),,"Transport, extracellular"
CYSTGLUex,L-cystine/L-glutamate exchanger,,"Transport, extracellular"
CYTD,Cytidine deaminase,,Pyrimidine catabolism
CYTDn,"Cytidine deaminase, nuclear",,Nucleotide interconversion
CYTDt,Cytidine facilated transport in cytosol,,"Transport, extracellular"
CYTDtl,Cytidine facilated transport from lysosome,,"Transport, lysosomal"
CYTK12,"Cytidylate kinase (dCMP,dCTP)",,Nucleotide interconversion
CYTK12n,"Cytidylate kinase (dCMP,dCTP),nuclear",,Nucleotide interconversion
CYTK13n,"Cytidylate kinase (dCMP,dATP),nuclear",,Nucleotide interconversion
CYTK14,"Cytidylate kinase (dCMP,UTP)",,Nucleotide interconversion
CYTK1m,"Cytidylate kinase (CMP),mitochondrial",,Nucleotide interconversion
CYTK2n,"Cytidylate kinase (dCMP),nuclear",,Nucleotide interconversion
CYTK3,Cytidylate kinase (CMP)(GTP),,Nucleotide interconversion
CYTK4,Cytidylate kinase (dCMP)(GTP),,Nucleotide interconversion
CYTK5n,"Cytidylate kinase (CMP),nuclear",,Nucleotide interconversion
CPK1,Adenylate kinase,,Nucleotide interconversion
CYTK6n,"Cytidylate kinase (CMP,CTP),nuclear",,Nucleotide interconversion
CYTK7,"Cytidylate kinase (CMP,UTP)",,Nucleotide interconversion
CYTK7n,"Cytidylate kinase (CMP,UTP),nuclear",,Nucleotide interconversion
CYTK8,"Cytidylate kinase (CMP,dATP)",,Nucleotide interconversion
