metabolite_id,metabolite_name,metabolite_no_compartment,compartment
7thf_m,Heptaglutamyl folate (THF),7thf,m
b2coa_m,Crotonoyl-CoA,b2coa,m
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,nadph,c
nadp_c,Nicotinamide adenine dinucleotide phosphate,nadp,c
3hbcoa__R_m,(R)-3-Hydroxybutyryl-CoA,3hbcoa,m
paps_c,3-Phosphoadenylyl sulfate,paps,c
man_c,D-Mannose,man,c
Lcyst_c,L-Cysteate,Lcyst,c
3hibutcoa_m,(S)-3-Hydroxyisobutyryl-CoA,3hibutcoa,m
pap_c,"Adenosine 3,5-bisphosphate",pap,c
3hmp_m,3-Hydroxy-2-methylpropanoate,3hmp,m
m2mn_l,(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine,m2mn,l
L2aadp_c,L 2 Aminoadipate C6H10NO4,L2aadp,c
glu__L_c,L-Glutamate,glu,c
L2aadp_m,L 2 Aminoadipate C6H10NO4,L2aadp,m
hLkynr_c,3 Hydroxy L kynurenine C10H12N2O4,hLkynr,c
man_l,D-Mannose,man,l
akg_m,2-Oxoglutarate,akg,m
akg_c,2-Oxoglutarate,akg,c
42A3HP24DB_c,"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",42A3HP24DB,c
mn_l,"Beta-1,4-mannose-N-acetylglucosamine",mn,l
2dr1p_c,2-Deoxy-D-ribose 1-phosphate,2dr1p,c
drib_c,Deoxyribose C5H10O4,drib,c
nadh_c,Nicotinamide adenine dinucleotide - reduced,nadh,c
dopa_c,Dopamine,dopa,c
nad_c,Nicotinamide adenine dinucleotide,nad,c
galgluside_hs_c,Galactosyl glucosyl ceramide,galgluside,c
2hb_c,2 Hydroxybutyrate C4H7O3,2hb,c
2obut_c,2-Oxobutanoate,2obut,c
coa_c,Coenzyme A,coa,c
h_e,H+,h,e
3hpp_c,3-Hydroxypropanoate,3hpp,c
udpgal_c,UDPgalactose,udpgal,c
2hb_e,2 Hydroxybutyrate C4H7O3,2hb,e
thcrm_hs_c,Trihexosyl ceramide (homo sapiens),thcrm,c
3mox4hpac_c,3-Methoxy-4-hydroxyphenylacetaldehyde,3mox4hpac,c
hco3_e,Bicarbonate,hco3,e
3mlda_c,3-Methylimidazoleacetic acid,3mlda,c
udp_c,UDP C9H11N2O12P2,udp,c
hco3_c,Bicarbonate,hco3,c
3mlda_e,3-Methylimidazoleacetic acid,3mlda,e
na1_e,Sodium,na1,e
3mob_c,3-Methyl-2-oxobutanoate,3mob,c
h_g,H+,h,g
galgluside_hs_g,Galactosyl glucosyl ceramide,galgluside,g
na1_c,Sodium,na1,c
3mob_m,3-Methyl-2-oxobutanoate,3mob,m
3mop_c,(S)-3-Methyl-2-oxopentanoate,3mop,c
2mcit_c,2-Methylcitrate,2mcit,c
3mop_m,(S)-3-Methyl-2-oxopentanoate,3mop,m
2mcit_e,2-Methylcitrate,2mcit,e
3m4hpga_c,3-Methoxy-4-hydroxyphenylglycolaldehyde,3m4hpga,c
udpgal_g,UDPgalactose,udpgal,g
nadh_m,Nicotinamide adenine dinucleotide - reduced,nadh,m
thcrm_hs_g,Trihexosyl ceramide (homo sapiens),thcrm,g
3mox4hoxm_c,3-Methoxy-4-hydroxymandelate,3mox4hoxm,c
nad_m,Nicotinamide adenine dinucleotide,nad,m
3moxtyr_c,3-Methoxytyramine,3moxtyr,c
udp_g,UDP C9H11N2O12P2,udp,g
2oxoadp_m,2 Oxoadipate C6H6O5,2oxoadp,m
h2o_l,H2O H2O,h2o,l
coa_m,Coenzyme A,coa,m
T_antigen_g,T antigen (core 1),T,g
co2_m,CO2 CO2,co2,m
pi_l,Phosphate,pi,l
glutcoa_m,Glutaryl-CoA mitochondria,glutcoa,m
2oxoadp_c,2 Oxoadipate C6H6O5,2oxoadp,c
uacgam_g,UDP-N-acetyl-D-glucosamine,uacgam,g
adn_l,Adenosine,adn,l
34dhmald_c,"3,4-Dihydroxymandelaldehyde",34dhmald,c
gncore1_g,"GlcNAc-alpha-1,4-Core 1",gncore1,g
34dhoxpeg_c,"3,4-Dihydroxyphenylethyleneglycol",34dhoxpeg,c
3sala_m,3-Sulfino-L-alanine,3sala,m
34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol",34dhoxpeg,e
3sala_c,3-Sulfino-L-alanine,3sala,c
34dhpha_c,3-4-Dihydroxyphenylacetate,34dhpha,c
asp__L_c,L-Aspartate,asp,c
core2_g,Core2 g,core2,g
amet_c,S-Adenosyl-L-methionine,amet,c
gncore2_g,"GlcNAc-alpha-1,4-Core 2",gncore2,g
asp__L_m,L-Aspartate,asp,m
ahcys_c,S-Adenosyl-L-homocysteine,ahcys,c
hyptaur_c,Hypotaurine; 2-Aminoethanesulfinic acid,hyptaur,c
aact_c,Aminoacetone,aact,c
homoval_c,Homovanillate,homoval,c
mthgxl_c,Methylglyoxal,mthgxl,c
3snpyr_c,3-Sulfinopyruvate,3snpyr,c
34dhphe_e,"3,4-Dihydroxy-L-phenylalanine",34dhphe,e
3snpyr_m,3-Sulfinopyruvate,3snpyr,m
aact_m,Aminoacetone,aact,m
34dhphe_c,"3,4-Dihydroxy-L-phenylalanine",34dhphe,c
34dhpac_c,"3,4-Dihydroxyphenylacetaldehyde",34dhpac,c
L2aadp6sa_m,L 2 Aminoadipate 6 semialdehyde C6H11NO3,L2aadp6sa,m
34dhoxmand_c,"3,4-Dihydroxymandelate",34dhoxmand,c
fucgalacglcgalgluside_hs_g,Type IH glycolipid,fucgalacglcgalgluside,g
34hpp_m,3-(4-Hydroxyphenyl)pyruvate,34hpp,m
ttccoa_x,Tetracosanoyl CoA   n C240CoA  C45H78N7O17P3S,ttccoa,x
udpacgal_g,UDP-N-acetyl-D-galactosamine,udpacgal,g
acac_x,Acetoacetate,acac,x
acald_m,Acetaldehyde,acald,m
acgalfucgalacglcgalgluside_hs_g,Type IA glycolipid,acgalfucgalacglcgalgluside,g
acald_c,Acetaldehyde,acald,c
acald_r,Acetaldehyde,acald,r
galfucgalacglcgalgluside_hs_g,Type IB glycolipid,galfucgalacglcgalgluside,g
acald_x,Acetaldehyde,acald,x
fuc12gal14acglcgalgluside_hs_g,Type IIH glycolipid,fuc12gal14acglcgalgluside,g
atp_m,ATP C10H12N5O13P3,atp,m
galfuc12gal14acglcgalgluside_hs_g,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,galfuc12gal14acglcgalgluside,g
adp_m,ADP C10H12N5O10P2,adp,m
acgalfuc12gal14acglcgalgluside_hs_g,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,acgalfuc12gal14acglcgalgluside,g
pi_m,Phosphate,pi,m
fucgalacgalfuc12gal14acglcgalgluside_hs_g,Type IIIH glycolipid,fucgalacgalfuc12gal14acglcgalgluside,g
hco3_m,Bicarbonate,hco3,m
acgalfucgalacgalfuc12gal14acglcgalgluside_hs_g,Type IIIA glycolipid,acgalfucgalacgalfuc12gal14acglcgalgluside,g
malcoa_m,Malonyl CoA C24H33N7O19P3S,malcoa,m
accoa_c,Acetyl-CoA,accoa,c
fucgalacglcgal14acglcgalgluside_hs_g,VI2Fuc-nLc6,fucgalacglcgal14acglcgalgluside,g
acgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,acgalfucgalacglcgal14acglcgalgluside,g
accoa_g,Acetyl-CoA,accoa,g
fucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1,fucgalacgalfucgalacglcgal14acglcgalgluside,g
amp_m,AMP C10H12N5O7P,amp,m
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,Type IIIAb,acgalfucgalacgalfucgalacglcgal14acglcgalgluside,g
ppi_m,Diphosphate,ppi,m
galfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,galfucgalacglcgal14acglcgalgluside,g
ppa_m,Propionate (n-C3:0),ppa,m
fucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,fucfucgalacglcgalacglcgal14acglcgalgluside,g
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,galgalfucfucgalacglcgalacglcgal14acglcgalgluside,g
accoa_n,Acetyl-CoA,accoa,n
accoa_r,Acetyl-CoA,accoa,r
sucsal_m,Succinic semialdehyde,sucsal,m
acetone_e,Acetone,acetone,e
acetone_c,Acetone,acetone,c
acetone_m,Acetone,acetone,m
acgagbside_hs_c,Alpha GalNAc globoside (homo sapiens),acgagbside,c
acgagbside_hs_g,Alpha GalNAc globoside (homo sapiens),acgagbside,g
acgagbside_hs_l,Alpha GalNAc globoside (homo sapiens),acgagbside,l
so3_c,Sulfite,so3,c
acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type IIIA glycolipid,acgalfucgalacgalfuc12gal14acglcgalgluside,e
acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c,Type IIIA glycolipid,acgalfucgalacgalfuc12gal14acglcgalgluside,c
pyr_m,Pyruvate,pyr,m
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,Type IIIAb,acgalfucgalacgalfucgalacglcgal14acglcgalgluside,e
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c,Type IIIAb,acgalfucgalacgalfucgalacglcgal14acglcgalgluside,c
so3_m,Sulfite,so3,m
acgal_c,N-Acetyl-D-galactosamine,acgal,c
adrnl_c,Adrenaline,adrnl,c
acgal1p_c,N-Acetyl-D-galactosamine 1-phosphate,acgal1p,c
itp_c,ITP C10H11N4O14P3,itp,c
mma_c,Methylamine,mma,c
idp_c,IDP C10H11N4O11P2,idp,c
nrpphr_c,Norepinephrine,nrpphr,c
acgal_g,N-Acetyl-D-galactosamine,acgal,g
acgal_l,N-Acetyl-D-galactosamine,acgal,l
gam6p_c,D-Glucosamine 6-phosphate,gam6p,c
acgam6p_c,N-Acetyl-D-glucosamine 6-phosphate,acgam6p,c
acgam_c,N-Acetyl-D-glucosamine,acgam,c
acgam1p_c,N-Acetyl-D-glucosamine 1-phosphate,acgam1p,c
acgam_l,N-Acetyl-D-glucosamine,acgam,l
4abut_c,4-Aminobutanoate,4abut,c
abt_c,L Arabinitol C5H12O5,abt,c
acgbgbside_hs_c,Beta GalNAc globoside (homo sapiens),acgbgbside,c
4abut_m,4-Aminobutanoate,4abut,m
acgbgbside_hs_g,Beta GalNAc globoside (homo sapiens),acgbgbside,g
coucoa_m,P coumaroyl CoA C30H38N7O18P3S1,coucoa,m
xylu__L_c,L-Xylulose,xylu,c
acgbgbside_hs_l,Beta GalNAc globoside (homo sapiens),acgbgbside,l
4hbzcoa_m,4 hydroxybenoyl CoA C28H36N7O18P3S,4hbzcoa,m
abt_e,L Arabinitol C5H12O5,abt,e
acgpail_hs_c,N-Acetyl-D-glucosaminylphosphatidylinositol,acgpail,c
h_l,H+,h,l
accoa_m,Acetyl-CoA,accoa,m
ac_c,Acetate,ac,c
4hbz_m,4-Hydroxybenzoate,4hbz,m
gpail_hs_c,D-glucosaminylphosphatidylinositol,gpail,c
4hdebrisoquine_e,4hdebrisoquine c,4hdebrisoquine,e
4abut_l,4-Aminobutanoate,4abut,l
acglu_m,N-Acetyl-L-glutamate,acglu,m
4abut_e,4-Aminobutanoate,4abut,e
4hdebrisoquine_c,4hdebrisoquine c,4hdebrisoquine,c
ac_e,Acetate,ac,e
4hglusa_m,L 4 Hydroxyglutamate semialdehyde C5H9NO4,4hglusa,m
ach_e,Acetylcholine,ach,e
e4hglu_m,L erythro 4 Hydroxyglutamate C5H8NO5,e4hglu,m
2maacoa_m,2-Methyl-3-acetoacetyl-CoA,2maacoa,m
chol_e,Choline C5H14NO,chol,e
ach_n,Acetylcholine,ach,n
ppcoa_m,Propanoyl-CoA,ppcoa,m
4hoxpacd_c,4-Hydroxyphenylacetaldehyde,4hoxpacd,c
ach_c,Acetylcholine,ach,c
4hphac_c,4-Hydroxyphenylacetate,4hphac,c
aacoa_m,Acetoacetyl-CoA,aacoa,m
coa_x,Coenzyme A,coa,x
cit_c,Citrate,cit,c
accoa_x,Acetyl-CoA,accoa,x
oaa_c,Oxaloacetate,oaa,c
acn13acngalgbside_hs_c,"Sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn13acngalgbside,c
aacoa_x,Acetoacetyl-CoA,aacoa,x
acac_c,Acetoacetate,acac,c
4mop_c,4-Methyl-2-oxopentanoate,4mop,c
acn13acngalgbside_hs_e,"Sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn13acngalgbside,e
4mop_m,4-Methyl-2-oxopentanoate,4mop,m
acac_m,Acetoacetate,acac,m
acn13acngalgbside_hs_g,"Sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn13acngalgbside,g
3odcoa_x,3-Oxodecanoyl-CoA,3odcoa,x
4mptnl_c,4-Methylpentanal,4mptnl,c
4mptnl_e,4-Methylpentanal,4mptnl,e
acn23acngalgbside_hs_c,"Sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn23acngalgbside,c
4mptnl_m,4-Methylpentanal,4mptnl,m
acn23acngalgbside_hs_e,"Sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn23acngalgbside,e
4mtolbutamide_e,4mtolbutamide c,4mtolbutamide,e
occoa_x,Octanoyl-CoA (n-C8:0CoA),occoa,x
acn23acngalgbside_hs_g,"Sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens)",acn23acngalgbside,g
3oddcoa_x,3-Oxododecanoyl-CoA,3oddcoa,x
4mtolbutamide_c,4mtolbutamide c,4mtolbutamide,c
acnacngal14acglcgalgluside_hs_e,"3,8-LD1",acnacngal14acglcgalgluside,e
4nphsf_e,4-Nitrophenyl sulfate,4nphsf,e
acnacngal14acglcgalgluside_hs_c,"3,8-LD1",acnacngal14acglcgalgluside,c
4nphsf_c,4-Nitrophenyl sulfate,4nphsf,c
dcacoa_x,Decanoyl-CoA (n-C10:0CoA),dcacoa,x
acnacngal14acglcgalgluside_hs_g,"3,8-LD1",acnacngal14acglcgalgluside,g
4nph_c,4-Nitrophenol,4nph,c
4nph_e,4-Nitrophenol,4nph,e
acnacngalgbside_hs_c,Disialyl galactosylgloboside (homo sapiens),acnacngalgbside,c
4pyrdx_c,4-Pyridoxate,4pyrdx,c
3otdcoa_x,3-Oxotetradecanoyl-CoA,3otdcoa,x
ddcacoa_x,Dodecanoyl-CoA (n-C12:0CoA),ddcacoa,x
acnacngalgbside_hs_e,Disialyl galactosylgloboside (homo sapiens),acnacngalgbside,e
3ohdcoa_x,3-Oxohexadecanoyl-CoA,3ohdcoa,x
4pyrdx_e,4-Pyridoxate,4pyrdx,e
acnacngalgbside_hs_g,Disialyl galactosylgloboside (homo sapiens),acnacngalgbside,g
5adtststeroneglc_c,5alpha-Dihydrotestosterone glucuronide,5adtststeroneglc,c
tdcoa_x,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,x
acmanap_c,N-Acetyl-D-mannosamine 6-phosphate,acmanap,c
3ohodcoa_x,3-Oxooctadecanoyl-CoA,3ohodcoa,x
5adtststeroneglc_e,5alpha-Dihydrotestosterone glucuronide,5adtststeroneglc,e
pep_c,Phosphoenolpyruvate,pep,c
5adtststeroneglc_r,5alpha-Dihydrotestosterone glucuronide,5adtststeroneglc,r
pmtcoa_x,Palmitoyl-CoA (n-C16:0CoA),pmtcoa,x
acnamp_c,N-Acetylneuraminate 9-phosphate,acnamp,c
3ohxccoa_x,3 Oxohexacosyl CoA C47H80N7O18P3S,3ohxccoa,x
5adtststerones_c,5alpha-Dihydrotestosterone sulfate,5adtststerones,c
5adtststerones_e,5alpha-Dihydrotestosterone sulfate,5adtststerones,e
man6p_c,D-Mannose 6-phosphate,man6p,c
5adtststerone_c,5alpha-Dihydrotestosterone,5adtststerone,c
kdnp_c,2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate,kdnp,c
5adtststerone_e,5alpha-Dihydrotestosterone,5adtststerone,e
5adtststerone_r,5alpha-Dihydrotestosterone,5adtststerone,r
fad_x,Flavin adenine dinucleotide oxidized,fad,x
acnam_c,N-Acetylneuraminate,acnam,c
5aop_c,5-Amino-4-oxopentanoate,5aop,c
acnam_l,N-Acetylneuraminate,acnam,l
5aop_m,5-Amino-4-oxopentanoate,5aop,m
fadh2_x,Flavin adenine dinucleotide reduced,fadh2,x
5dhf_c,Pentaglutamyl folate (DHF),5dhf,c
acnam_n,N-Acetylneuraminate,acnam,n
5dhf_l,Pentaglutamyl folate (DHF),5dhf,l
acngalacglcgal14acglcgalgluside_hs_e,VI3NeuAc-nLc6Cer,acngalacglcgal14acglcgalgluside,e
dhcholoylcoa_x,"3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA",dhcholoylcoa,x
acngalacglcgal14acglcgalgluside_hs_c,VI3NeuAc-nLc6Cer,acngalacglcgal14acglcgalgluside,c
acngalacglcgal14acglcgalgluside_hs_g,VI3NeuAc-nLc6Cer,acngalacglcgal14acglcgalgluside,g
h2o_e,H2O H2O,h2o,e
acmana_c,N-Acetyl-D-mannosamine,acmana,c
5fthf_e,5-Formyltetrahydrofolate,5fthf,e
2mbcoa_m,2-Methylbutanoyl-CoA,2mbcoa,m
5fthf_c,5-Formyltetrahydrofolate,5fthf,c
5htrp_c,5-Hydroxy-L-tryptophan,5htrp,c
fad_m,Flavin adenine dinucleotide oxidized,fad,m
ahcys_r,S-Adenosyl-L-homocysteine,ahcys,r
2mb2coa_m,Trans-2-Methylbut-2-enoyl-CoA,2mb2coa,m
fadh2_m,Flavin adenine dinucleotide reduced,fadh2,m
n2m2nmn_l,Reducing GlcNAc removed form of n2m2nmasn (w/o peptide),n2m2nmn,l
thcholoylcoa_x,"3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA",thcholoylcoa,x
btcoa_m,Butanoyl-CoA,btcoa,m
n2m2mn_l,"De-Fuc, reducing GlcNAc removed, de-Sia, de-Gal form of PA6 (w/o peptide linkage)",n2m2mn,l
h2o_x,H2O H2O,h2o,x
ivcoa_m,Isovaleryl-CoA,ivcoa,m
air_c,5-amino-1-(5-phospho-D-ribosyl)imidazole,air,c
5aizc_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,5aizc,c
succoa_m,Succinyl-CoA,succoa,m
cholcoas_x,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S)",cholcoas,x
cholcoads_x,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",cholcoads,x
3mb2coa_m,3-Methylbut-2-enoyl-CoA,3mb2coa,m
fmn_c,FMN C17H19N4O9P,fmn,c
mal__L_c,L-Malate,mal,c
ibcoa_m,Isobutyryl-CoA,ibcoa,m
mal__L_m,L-Malate,mal,m
2mp2coa_m,2-Methylprop-2-enoyl-CoA,2mp2coa,m
ribflv_c,Riboflavin C17H20N4O6,ribflv,c
o2_x,O2 O2,o2,x
acrn_c,O Acetylcarnitine C9H17NO4,acrn,c
akg_e,2-Oxoglutarate,akg,e
akg_x,2-Oxoglutarate,akg,x
h2o2_x,Hydrogen peroxide,h2o2,x
acrn_m,O Acetylcarnitine C9H17NO4,acrn,m
hdd2coa_x,Trans-Hexadec-2-enoyl-CoA,hdd2coa,x
amp_c,AMP C10H12N5O7P,amp,c
prgstrn_c,Prgstrn c,prgstrn,c
acorn_c,N2-Acetyl-L-ornithine,acorn,c
aprgstrn_c,20alpha-Hydroxyprogesterone,aprgstrn,c
ppi_c,Diphosphate,ppi,c
orn_c,Ornithine,orn,c
ppcoa_c,Propanoyl-CoA,ppcoa,c
cit_m,Citrate,cit,m
ppa_c,Propionate (n-C3:0),ppa,c
xol7ah_c,7alpha-Hydroxy-5beta-cholestan-3-one,xol7ah,c
icit_m,Isocitrate,icit,m
ac_m,Acetate,ac,m
biocyt_c,Biocyt c,biocyt,c
Nacsertn_c,N-Acetylserotonin,Nacsertn,c
xol7ah2_c,"3alpha,7alpha-Dihydroxy-5beta-cholestane",xol7ah2,c
apoC_Lys_btn_m,Holocarboxylase (biotin covalent bound to Lys residue of apoC),apoC,m
xoldioloneh_c,"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one",xoldioloneh,c
xoltriol_c,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane",xoltriol,c
melatn_c,Melatn c,melatn,c
biocyt_m,Biocyt c,biocyt,m
ac_g,Acetate,ac,g
xol7aone_c,7alpha-Hydroxycholest-4-en-3-one,xol7aone,c
acetol_c,Acetol cytosol,acetol,c
appnn_e,(+)-alpha-Pinene,appnn,e
adn_c,Adenosine,adn,c
xoldiolone_c,"7alpha,12alpha-Dihydroxycholest-4-en-3-one",xoldiolone,c
appnn_c,(+)-alpha-Pinene,appnn,c
ala__L_e,L-Alanine,ala,e
ins_c,Inosine,ins,c
aprut_c,N Acetylputrescine C6H15N2O,aprut,c
ala__L_c,L-Alanine,ala,c
